Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Al', 'Si', 'W']",[0.07589638 0.05252055 0.05769746 0.81388474],168.26287841796875,10.014305114746094,99999.125,4.711865425109863,1.0030882358551025,99999.8203125
"['Ca', 'Al', 'Si', 'W']",[0.07414455 0.05098026 0.0561347  0.8187397 ],168.75534057617188,9.990609169006348,99999.1171875,4.688544273376465,0.994735062122345,99999.8203125
"['Ca', 'Al', 'Si', 'W']",[0.0724361  0.04948886 0.05462585 0.8234484 ],169.23728942871094,9.966859817504883,99999.109375,4.665439605712891,0.9867478013038635,99999.8125
"['Ca', 'Al', 'Si', 'W']",[0.07076924 0.04804457 0.05316821 0.82801723],169.7085418701172,9.943177223205566,99999.1015625,4.642955780029297,0.9790233969688416,99999.8125
"['Ca', 'Al', 'Si', 'W']",[0.06914331 0.04664643 0.05175988 0.8324496 ],170.1728973388672,9.920367240905762,99999.09375,4.621002674102783,0.9715818166732788,99999.8125
"['Ca', 'Al', 'Si', 'W']",[0.06755601 0.0452927  0.05039778 0.8367528 ],170.6282958984375,9.898508071899414,99999.0859375,4.599600315093994,0.9644668698310852,99999.8125
"['Ca', 'Al', 'Si', 'W']",[0.06600825 0.04398367 0.04908107 0.84092623],171.0604248046875,9.876274108886719,99999.078125,4.578927993774414,0.9577496647834778,99999.8046875
"['Ca', 'Al', 'Si', 'W']",[0.06450412 0.04272077 0.04781105 0.8449633 ],171.47238159179688,9.854371070861816,99999.078125,4.558903694152832,0.9513306021690369,99999.8046875
"['Ca', 'Al', 'Si', 'W']",[0.06304283 0.04150261 0.04658572 0.8488681 ],171.87200927734375,9.83304214477539,99999.0703125,4.539684295654297,0.9451895356178284,99999.8046875
"['Ca', 'Al', 'Si', 'W']",[0.06162398 0.04032866 0.04540385 0.8526428 ],172.25772094726562,9.81191635131836,99999.0625,4.52113151550293,0.9393292665481567,99999.8046875
"['Ca', 'Al', 'Si', 'W']",[0.0602469  0.03919797 0.04426393 0.85629046],172.6278076171875,9.790936470031738,99999.0546875,4.502988815307617,0.9336810111999512,99999.796875
"['Ca', 'Al', 'Si', 'W']",[0.05891236 0.03811004 0.04316515 0.8598117 ],172.97647094726562,9.769966125488281,99999.0546875,4.485187530517578,0.928252100944519,99999.796875
"['Ca', 'Al', 'Si', 'W']",[0.05761984 0.03706407 0.04210636 0.863209  ],173.3112030029297,9.750102043151855,99999.046875,4.468110084533691,0.9231038689613342,99999.796875
"['Ca', 'Al', 'Si', 'W']",[0.05636806 0.03605859 0.04108597 0.86648667],173.63328552246094,9.730372428894043,99999.0390625,4.451493263244629,0.918168306350708,99999.796875
"['Ca', 'Al', 'Si', 'W']",[0.05515569 0.03509187 0.04010246 0.86964923],173.94427490234375,9.71110725402832,99999.0390625,4.435368537902832,0.9135031700134277,99999.796875
"['Ca', 'Al', 'Si', 'W']",[0.05398136 0.03416216 0.03915428 0.8727015 ],174.23464965820312,9.690825462341309,99999.03125,4.4198198318481445,0.909096896648407,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.05284659 0.03326914 0.03824152 0.87564206],174.5146484375,9.67136001586914,99999.03125,4.4048357009887695,0.9048553705215454,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.05174942 0.03241112 0.03736224 0.87847656],174.78611755371094,9.65241527557373,99999.0234375,4.39039421081543,0.9006985425949097,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.05068784 0.03158625 0.03651455 0.8812107 ],175.04779052734375,9.634211540222168,99999.0234375,4.3762736320495605,0.8965846300125122,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.04966024 0.03079268 0.03569663 0.88384974],175.29873657226562,9.616103172302246,99999.015625,4.362556457519531,0.8926165699958801,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.04866628 0.03002991 0.03490765 0.8863955 ],175.53982543945312,9.5980224609375,99999.015625,4.349494457244873,0.8888458609580994,99999.7890625
"['Ca', 'Al', 'Si', 'W']",[0.04770466 0.0292967  0.03414651 0.88885146],175.77169799804688,9.580753326416016,99999.0078125,4.33699369430542,0.8852646350860596,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04677536 0.02859247 0.03341282 0.8912187 ],175.989990234375,9.563420295715332,99999.0078125,4.324948310852051,0.8818256855010986,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04587824 0.0279167  0.03270599 0.89349836],176.194580078125,9.546259880065918,99999.0,4.313342571258545,0.878510594367981,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04501217 0.02726824 0.03202495 0.89569396],176.39080810546875,9.529898643493652,99999.0,4.302233695983887,0.8753066062927246,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.0441755  0.02664561 0.03136846 0.89780974],176.5794677734375,9.514006614685059,99999.0,4.29147481918335,0.8722251057624817,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04336727 0.02604758 0.03073546 0.89984906],176.75967407226562,9.498395919799805,99998.9921875,4.281101703643799,0.8692706227302551,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04258598 0.02547271 0.03012478 0.9018159 ],176.933349609375,9.482860565185547,99998.9921875,4.2710466384887695,0.8664103746414185,99999.78125
"['Ca', 'Al', 'Si', 'W']",[0.04183031 0.02491978 0.02953531 0.90371394],177.0999755859375,9.468032836914062,99998.9921875,4.261297225952148,0.8636506199836731,99999.78125
