Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,decomposition_energy,decomposition_energy UNC,Prop1 Loss
"['Ca', 'Al', 'Si', 'O']",[0.17700058 0.18536654 0.10053057 0.53710175],162.17263793945312,18.37801170349121,99999.2109375,0.009000644087791443,0.044745638966560364,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.17296995 0.18490446 0.1008599  0.5412651 ],164.92529296875,19.0512638092041,99999.171875,0.009305793792009354,0.04566563293337822,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.16856334 0.18297626 0.10095152 0.54750836],168.0380401611328,19.69512367248535,99999.125,0.009935762733221054,0.04686305671930313,99999.78125
"['Ca', 'Al', 'Si', 'O']",[0.16404165 0.1801776  0.10087442 0.5549057 ],170.8799591064453,20.203357696533203,99999.0859375,0.011032495647668839,0.04915274307131767,99999.7890625
"['Ca', 'Al', 'Si', 'O']",[0.15957002 0.17696542 0.10068268 0.5627812 ],173.2423553466797,20.477811813354492,99999.046875,0.013064626604318619,0.053480956703424454,99999.796875
"['Ca', 'Al', 'Si', 'O']",[0.15534355 0.17390823 0.10047328 0.57027435],175.0482177734375,20.560766220092773,99999.0234375,0.01672796905040741,0.05941120162606239,99999.8125
"['Ca', 'Al', 'Si', 'O']",[0.15157017 0.17169894 0.10038689 0.57634336],176.3876953125,20.50832748413086,99999.0,0.02200685814023018,0.06517133861780167,99999.8359375
"['Ca', 'Al', 'Si', 'O']",[0.14845158 0.17104866 0.1006009  0.57989836],177.23883056640625,20.4276065826416,99998.984375,0.026097264140844345,0.0689087063074112,99999.8515625
"['Ca', 'Al', 'Si', 'O']",[0.14607604 0.17230234 0.10122102 0.58040005],177.57440185546875,20.34868812561035,99998.984375,0.026423119008541107,0.06937279552221298,99999.8515625
"['Ca', 'Al', 'Si', 'O']",[0.14436546 0.17534325 0.10222415 0.5780666 ],177.4718475341797,20.284889221191406,99998.984375,0.023109856992959976,0.06684418022632599,99999.84375
"['Ca', 'Al', 'Si', 'O']",[0.14311032 0.17965494 0.10347971 0.5737545 ],177.0487060546875,20.222103118896484,99998.9921875,0.018449701368808746,0.06319865584373474,99999.8203125
"['Ca', 'Al', 'Si', 'O']",[0.14206485 0.18462782 0.10482381 0.56848294],176.435302734375,20.143354415893555,99999.0,0.014989692717790604,0.06001993268728256,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14195874 0.18509877 0.10494933 0.5679926 ],176.3778839111328,20.135486602783203,99999.0,0.014782685786485672,0.05978579446673393,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14185132 0.18553863 0.10506634 0.56754315],176.3262481689453,20.128070831298828,99999.0,0.014598913490772247,0.059585295617580414,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14174213 0.18594767 0.10517512 0.56713456],176.2802734375,20.120820999145508,99999.0,0.014438159763813019,0.05941910669207573,99999.8046875
"['Ca', 'Al', 'Si', 'O']",[0.14163049 0.18632552 0.10527582 0.56676763],176.24017333984375,20.113853454589844,99999.0,0.014294691383838654,0.0592784509062767,99999.8046875
