Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Loss
"['Ti', 'Cd', 'C']",[0.5157393  0.0389495  0.44531044],156.58578491210938,8.582585334777832,99999.296875
"['Ti', 'Cd', 'C']",[0.51664126 0.03769336 0.44566467],156.71554565429688,8.57456111907959,99999.296875
"['Ti', 'Cd', 'C']",[0.5176687  0.03649734 0.4458333 ],156.83120727539062,8.558382034301758,99999.296875
"['Ti', 'Cd', 'C']",[0.5183364  0.03537207 0.44629082],156.94000244140625,8.556055068969727,99999.2890625
"['Ti', 'Cd', 'C']",[0.51862144 0.034313   0.4470649 ],157.0454864501953,8.569116592407227,99999.2890625
"['Ti', 'Cd', 'C']",[0.5185607  0.03331489 0.44812372],157.14573669433594,8.596450805664062,99999.2890625
"['Ti', 'Cd', 'C']",[0.51843995 0.03236825 0.44919118],157.23663330078125,8.626001358032227,99999.2890625
"['Ti', 'Cd', 'C']",[0.51866287 0.03146209 0.44987437],157.32400512695312,8.638703346252441,99999.2890625
"['Ti', 'Cd', 'C']",[0.5192667  0.03059359 0.45013902],157.40936279296875,8.632858276367188,99999.28125
"['Ti', 'Cd', 'C']",[0.52016276 0.02976185 0.45007473],157.48959350585938,8.612774848937988,99999.28125
"['Ti', 'Cd', 'C']",[0.5209597  0.02897302 0.45006666],157.56068420410156,8.596566200256348,99999.28125
"['Ti', 'Cd', 'C']",[0.5212311  0.02823171 0.45053658],157.63186645507812,8.603053092956543,99999.28125
"['Ti', 'Cd', 'C']",[0.5209066  0.02753539 0.45155743],157.70274353027344,8.635828971862793,99999.28125
"['Ti', 'Cd', 'C']",[0.5203668  0.02687442 0.45275822],157.76956176757812,8.677940368652344,99999.28125
"['Ti', 'Cd', 'C']",[0.519858   0.02624278 0.45389858],157.83074951171875,8.717609405517578,99999.28125
"['Ti', 'Cd', 'C']",[0.5195061  0.02563627 0.45485705],157.8873291015625,8.749780654907227,99999.28125
"['Ti', 'Cd', 'C']",[0.51957506 0.0250497  0.45537466],157.94273376464844,8.761751174926758,99999.2734375
"['Ti', 'Cd', 'C']",[0.52012223 0.02448127 0.4553959 ],157.9986572265625,8.750521659851074,99999.2734375
"['Ti', 'Cd', 'C']",[0.520984   0.02393217 0.4550833 ],158.05288696289062,8.724018096923828,99999.2734375
"['Ti', 'Cd', 'C']",[0.5219448  0.02340399 0.45465055],158.103759765625,8.692619323730469,99999.2734375
"['Ti', 'Cd', 'C']",[0.52279735 0.02289825 0.4543038 ],158.14990234375,8.66603946685791,99999.2734375
"['Ti', 'Cd', 'C']",[0.52323437 0.02241778 0.45434725],158.1949005126953,8.65808391571045,99999.2734375
"['Ti', 'Cd', 'C']",[0.5232071  0.02196184 0.4548305 ],158.240966796875,8.670709609985352,99999.2734375
"['Ti', 'Cd', 'C']",[0.52275825 0.02152836 0.45571277],158.28536987304688,8.70256233215332,99999.2734375
"['Ti', 'Cd', 'C']",[0.5222887  0.02111111 0.45659968],158.325927734375,8.735269546508789,99999.2734375
"['Ti', 'Cd', 'C']",[0.52203715 0.02070628 0.45725608],158.36367797851562,8.757356643676758,99999.2734375
"['Ti', 'Cd', 'C']",[0.52240205 0.02030872 0.45728865],158.40309143066406,8.750377655029297,99999.2734375
"['Ti', 'Cd', 'C']",[0.5232051  0.01992013 0.4568742 ],158.44174194335938,8.722811698913574,99999.265625
"['Ti', 'Cd', 'C']",[0.52394575 0.01954554 0.45650816],158.47665405273438,8.697957992553711,99999.265625
"['Ti', 'Cd', 'C']",[0.52438754 0.01918707 0.45642486],158.50994873046875,8.686683654785156,99999.265625
"['Ti', 'Cd', 'C']",[0.52444786 0.01884493 0.45670673],158.5435028076172,8.692585945129395,99999.265625
"['Ti', 'Cd', 'C']",[0.52420574 0.0185174  0.4572763 ],158.576904296875,8.712028503417969,99999.265625
"['Ti', 'Cd', 'C']",[0.5238359  0.0182018  0.45796174],158.6075439453125,8.736918449401855,99999.265625
"['Ti', 'Cd', 'C']",[0.5236512  0.01789435 0.45845392],158.6359405517578,8.753188133239746,99999.265625
"['Ti', 'Cd', 'C']",[0.52391356 0.01759206 0.45849383],158.66546630859375,8.748664855957031,99999.265625
"['Ti', 'Cd', 'C']",[0.52453065 0.01729565 0.45817322],158.6949005126953,8.727731704711914,99999.265625
"['Ti', 'Cd', 'C']",[0.5251279  0.01700833 0.4578632 ],158.72186279296875,8.70772647857666,99999.265625
"['Ti', 'Cd', 'C']",[0.525494   0.01673187 0.45777366],158.74722290039062,8.697961807250977,99999.265625
"['Ti', 'Cd', 'C']",[0.52538973 0.01646805 0.45814165],158.77389526367188,8.709198951721191,99999.265625
"['Ti', 'Cd', 'C']",[0.5251227  0.01621345 0.45866328],158.79945373535156,8.727577209472656,99999.265625
"['Ti', 'Cd', 'C']",[0.52493584 0.01596532 0.4590983 ],158.82302856445312,8.742316246032715,99999.265625
"['Ti', 'Cd', 'C']",[0.5250394  0.01572149 0.45923865],158.8465118408203,8.743638038635254,99999.265625
"['Ti', 'Cd', 'C']",[0.5253932  0.01548212 0.4591242 ],158.86996459960938,8.733376502990723,99999.265625
"['Ti', 'Cd', 'C']",[0.52544075 0.01545858 0.45910016],158.87225341796875,8.73178768157959,99999.265625
"['Ti', 'Cd', 'C']",[0.5254984  0.01543525 0.4590659 ],158.87448120117188,8.729740142822266,99999.265625
"['Ti', 'Cd', 'C']",[0.52554965 0.01541225 0.4590376 ],158.87664794921875,8.727970123291016,99999.265625
"['Ti', 'Cd', 'C']",[0.5255907  0.01538957 0.4590192 ],158.87875366210938,8.726668357849121,99999.265625
