formula,target
CdO2,2.3
O2Sn,2194.39
AlSb3Sr3,23.11
Cu8Se6Si,1342.56
CdTe2Zn,2401.58
MnTe2,11.84
N8Si5Sr2,79.64
As2La,39.84
InNaS2,62.52
K4Se8Sn3,66.31
AgScSe2,6.08
CoK6Se4,6.67
CsIn5S8,4.08
K6O7Ti2,37.41
HfO2,68.4
Al2S4Zn,74.83
PbS,549.72
Ba3S8Ta2,4.5
GaS,8.71
C,425.86
BiK3,439.28
NiS4Ga2,5.57
Cu3Se4V,1.06
O3SiSr,93.92
ZnTe,1963.5
O4SiZn2,1224.14
S2Ti,0.1
HfO3Sr,142.35
CaGe2O5,595.03
AuO2Sc,45.24
Bi2Pb3S6,9.59
CuGaTe2,2309.03
Au6K4S5,29.82
Rb2Se,17.52
SiGaLi,59.56
BaSe4Y2,30.97
GeMg2O4,554.24
CuLaSe2,28.84
Ga2GeLa2S8,3.71
Ga2S3,3.66
NiP2,147.54
CaO3Ti,16.3
Rb2S5,0.27
GaGeKS4,2.95
CaO3Ti,46.0
As2Cd,751.1
Na2Se,108.29
K2TeBr6,6.03
O2RbSc,36.83
N2SrZr,408.38
FeNbTe2,0.13
N2SiZn,1330.77
ScNiSb,17.5
AlNaSe2,243.88
AuKSe,3.43
S2Bi2AgCl3,46.39
CaO3Sn,340.49
In6Se7,84.55
MoTe2,1.85
As2Ba2Cd,394.86
BaCuLaTe3,15.23
Au5O2Rb7,17.15
K6Se6Sn2,2.77
O4SnSr2,309.45
AlCuSe2,1368.0
HgS,2.56
Se2Si,0.1
K3S4Sb,1.84
O2Sr,2.6
MnTe,85.99
Li2S,15.21
Cr2FeSe4,8.01
BaCa2O9Si3,202.84
Al2Te4Zn,345.49
TeSn,530.31
BaGa2P2,2.37
Na2O4SiZn,227.57
B18Rb8S18,1.4
AlAs,86.23
Ba2S4Sn,24.78
Ba3S5Ti,1.79
Mo3RbTe3,1.99
Ga2MgO4,1212.51
Ga2S3,145.54
In2O7Si2,659.92
BaBi2LaS6,10.78
O3PbTi,9.88
O3SrTi,36.77
CaTe,24.52
BaCu2Se2,441.53
BBi,7549.61
MgTe,332.82
Ge2Rb4S6,0.95
GeMgO3,734.76
K4P6,3.63
GeOSr3,61.32
Ge2N6Sr5,378.62
AsMnLi,19.64
AuSbSr,19.89
S7Sb4Sn,1.39
K3MnO4,0.37
Al2MnTe4,59.83
O3SnSr,2868.7
Al2S3,77.48
GaN,3913.81
O2Si,50.09
KTe2Y,8.04
O3SrZr,97.13
Au3La3Sb4,269.74
BiK3,567.37
SeCd,2709.76
AlS2Tl,21.22
GaMo4Se8,0.15
In5S7Tl,4.54
LiSe2In,116.34
Si,124.69
Fe2ScSi2,2.0
K2S,20.92
Al2O3,1416.68
Ca5N6Si2,149.25
B3BaLiS6,8.63
S2ScTl,30.45
Ba2S4Ti,7.88
BaO3Sn,4539.19
NaSi,100.88
AgIn5Se8,562.56
O7Si2Y2,169.16
TeV,14.35
In2P2Sr,2254.27
In2S4Zn,327.97
Au2Cd2Rb2S4,9.99
Cr2MnSe4,93.82
SrTe,24.52
MgO,532.23
AsNa3,1704.77
SbS2Na,5.49
NbSe2,0.11
Cd2K2O3,380.77
O2Si,12.19
Ge2K2O7Zr,65.85
SrCuP,17.51
BaS3Ti,12.11
N3Rb,1.34
Bi2S5Tl4,5.24
NaO4TiY,16.35
AuN12Rb,0.11
KRbS,49.23
AlLaO3,0.24
Al2O5Ti,15.48
Ba2S3Zn,18.42
Ga2S4Zn,318.97
As2Rb2Si,18.36
O2Si,10.91
Te2AgIn,2003.3
CaP,27.74
As2Sr2,48.74
Rb2Se5Sn2,73.58
AgLa3Se7Si,1.39
B4Ba7S13,11.12
Al2HgSe4,344.08
Ca3N2,336.07
PbS,26.31
Ca2N2Zn,7.09
BaLa2S5Zn,12.5
AlNa3P2,190.99
RbSb,7.88
SZn,889.16
LaNaO4Ti,20.88
CsS2Sb,1.51
CaSe,36.91
P2Se6Cd2,8.01
AsK,9.21
N4Si3,1000.49
S2FeCu,3.13
KMgP,285.69
AuKN12,0.09
GaLaO3,340.25
BiLa,74.38
O2Si,56.47
NaNbS2,5.95
O2Si,9.11
AuBiK2,51.02
