formula,target
O3PbTi,10.04
CdO3Ti,35.12
BaN7Si4Y,361.22
SbAl,146.48
O3SrZr,76.73
Hf3N4,565.67
In2Se3,396.66
KFeSe2,0.11
Ba3P6Si4,22.31
BeSbLi,25.8
PtRb2Te2,5.68
Mg2Si,60.14
AsSe2Li,1.96
HgK4P2,39.63
PBa2Cl,17.02
HgO,1.07
Se4V5,1.11
HgRb6S4,33.23
SrP2Li4,39.78
O3Pb2,2.33
Al2O4Pb,6.32
K2Se2,4.38
SrMn2P2,15.7
Al2MgSe4,19.56
CaGeO5Zr,138.28
S4CoSnCu2,11.06
BiCsS2,1.63
O2Si,132.34
NSc,496.87
As2Cd,751.87
In6Se7,62.06
MgSe,482.94
CaO5SiTi,2.84
KP3Zn4,14.34
Ge2Hg3K2S8,23.32
PbS,35.45
GeKS4Y,0.39
AuORb,7.06
O9Si3Sr3,163.95
K3NaSe8Sn3,39.31
K4O18Si8,19.87
Fe2Rb3Se4,0.21
N4Sn3,10098.07
La2O7Ti2,4.67
PbSe,613.14
InS2Tl,11.5
Al2O4Sr,247.42
Ca3InP3,74.39
AuK3Se2,19.04
BaGa4Se7,268.03
Ge3N4,3488.98
Te4V5,1.22
O4Sn2Ti,6.47
O3SrTi,37.9
O2Si,38.25
As2Sn2Sr,53.74
Fe2Na3Se4,0.35
BaP8,11.47
BN,744.81
K2Se5Sn2,86.03
CdIn2Te4,505.85
Si3Sr5,14.06
AlO3Y,484.58
O2Si,2437.58
MgO,346.15
KS4SiY,0.9
Na2Se3Zr,9.53
P2SnZn,3634.57
NaO6Si2Ti,0.51
AuKS5,0.56
O3Rb2Ti,1.76
BaSc2Te4,20.48
ZnO,2812.23
P2SrZn2,119.0
Ga2S4Sr,33.18
LaP5,13.68
HgO2Sr,22.92
Ba2HgS3,100.29
Ba2CdTe3,64.01
As4Ba3Si2,36.74
GeO2,3158.76
CaGa2O4,1558.66
KSbZn,406.88
Ba3S7Zr2,32.99
BaO2Zn,221.08
Al2O3,753.41
HgN6,0.07
MnMo6Se8,2.79
GeMg2S4,24.23
Mg2O4Si,575.35
Cs2S3Ti,2.75
AlLa3S7Ti,2.56
SnSe,32.48
Ba6Ga2P6,15.77
AgGaSe2,1911.67
BiCa2,5.9
Se2CuIn,4365.81
AlBaLaO4,0.94
AuRbS,2.57
Ca3O7Ti2,21.2
B3Na3S6,6.05
OSn,70.52
Fe2O3,1.13
MnTe,40.09
BN,1572.75
CsIn7S9,7.54
Ba2CdS3,97.26
La2O3,27.13
Na4S8Sn3,73.49
SiTe4Cu2Cd,1481.0
S6Si2Tl4,2.89
Nb2Pd3Se8,4.62
Na6O4Zn,312.1
S4SrY2,33.02
NaO6Si2Ti,0.52
GaLaO3,484.62
HfS3Sn,1.85
CdK6Te4,40.93
AsLi3,37.77
In4Se3,185.12
AgK2Se4V,0.48
Se2Sn,0.83
HgK2Se4Sn,69.76
SSn,55.74
PdSe2,2.97
Ca2CdP2,64.27
S5Sb2Sn2,5.05
HgO2Rb2,4.46
CaIn2P2,266.57
S4FeCu2Sn,310.75
NaS2Sb,8.01
S13Sb6Sn4,1.74
AgRbSe4,0.99
O2RbY,125.87
O2Zr,36.62
Ga2HgS4,357.28
Au3Sb4Y3,642.94
O2Si,71.89
K2O9Si3Ti,0.3
Na2PtSe2,12.02
NaO2Y,261.01
MgO5V2,2.98
NiK2P2,0.47
SiAlLi,179.65
CoCr2Se4,3.79
Ga2Ge4O14Pb3,48.52
AuGaO2,570.61
Ca3N2,294.41
Ca3N2,282.25
CuHfNaSe3,8.9
K2BiAg,142.91
Ba2O7Si2Zn,230.27
GaSe,16.51
Ba2S4Si,6.51
Ba3In2P4,27.59
AlP3Si,426.7
Al2CdTe4,208.39
ZnO,3811.42
N2SiSr,262.39
CaMg2N2,1354.77
AlP,70.55
CuRbSe4,1.74
O3Y2,215.94
HgSe,2.83
O3Rb,0.1
Ge2Na2O7Zr,164.55
Rb2Se4W,1.48
K2O2Pb,4.21
PGa,309.05
SV,21.17
NaNbSe2,3.21
AlNaO6Si2,402.11
BLi3S3,6.51
CdNa4P2,200.39
BaO,43.22
MoSe2,0.29
O2Si,22.02
NaTe2Cu3,1030.67
I2Br4Rb2Pd,9.75
AlKO2,182.3
Ag2BaTe2,176.9
KNa2Sb,544.62
GaO6Y3,346.49
Hg2Se4Sn,1118.31
BaS3,12.09
KMnAs,186.11
Ba3Ga2Ge4O14,329.1
S4Pt3Rb2,1.23
CuGa3K2Se6,445.27
S4SnTl4,3.02
IAg,77.09
AsSr,49.19
Ga2MnSe4,335.32
O3SiZn,870.52
BiGeRbS4,2.87
Mg2O4Si,628.18
NaS2Sb,8.01
In2Se3,1.9
P3RbZn4,38.68
Ba2GaSe5Y,18.12
ICu,433.45
Rb2S2,2.73
Ba2MgO7Si2,206.44
CaS4Y2,46.53
O7Ti2Y2,24.91
KSbZn,516.9
K2O5Ti2,0.75
P2K4Be,42.92
CdSc2Se4,343.36
Bi2CdCs2S5,5.78
SiSr2,69.72
CaO3Ti,43.61
AsRb,7.88
O3Sc2,9.5
Se4Y2Zn,472.13
SSn,52.7
Cd4S6Si,357.76
AsAuNa2,106.45
O2Si,107.3
SeIn,36.28
BiCaK,184.02
K2O7W2,1.69
SSn,14.55
Ba3NaNbO6,10.04
MgN2Si,479.34
BaHgO2,35.09
La2O7Sn2,658.72
Na4Se4Sn,82.42
HfS4Tl4,1.67
As2AuK5,113.79
Cd4GeS6,346.79
PLi3,41.77
CoNa6Se4,0.29
Ga2Te5,28.31
K2O3Sn2,4.15
PKS4Ag2,126.98
Cr5NaSe8,0.39
Hg2Se4Sn,1140.79
NSc,483.36
IAg,97.34
AlN,604.83
K2Se2Pt,4.26
K2SnBr6,10.29
GeKNaO3,103.47
O4SrY2,37.27
Al2Te5,0.98
FeSe,6.61
CaO5SiSn,296.97
KNaO2Zn,223.26
Ba2O4Zr,24.7
As4Sr3,40.29
O13Rb2Ti6,0.73
LiRbS,2.93
CdP2,18.4
CaS,41.02
S2Zr,0.2
CuBr,399.43
AlLa3S7Zn,1.33
O2Si,111.11
MoSe2,0.38
AuRbTe,279.98
La2O3,1.09
Na2O7Si2Zr,116.5
Li2S,9.96
MgO,668.21
K4O12Zr5,15.31
ZnSe,1.33
HfO3Pb,847.51
B2K2S7,3.51
Na2S2,9.46
ScSe2Ag,6.07
P4Si4Fe,11.84
B2S4Sr,10.51
GeO2,80.63
Cr5RbSe8,2.31
Na4O12Ti5,1.51
SbMnRb,91.62
I2Sn,5.08
Na2Te,87.52
Na2S2Zn,208.65
S2Tl2,10.48
Cd2O4Si,1221.48
CaO,61.31
Ca2Ga2O5,727.44
CdCr2Se4,5.12
K4O18Si6Sn2,51.21
Bi2HgS4,2.49
CoNa6Se4,0.27
Ba5Hf4S13,91.82
La2O9SiTi2,1.11
O7Sn2Y2,859.26
Ge2K6S6,3.58
AsKMg,539.97
HgMoO4,3.67
S3TeCu3Cl,22.34
O2Si,19.39
BaCa2MgO8Si2,352.25
C,431.57
As2SrZn2,158.95
Co2O3Rb2,5.74
HfO3Sr,105.97
P2Zn2Se6,9.32
HgO2,23.76
RuSe2,296.91
HfSe3,0.27
Ca2N8Si5,195.54
HgO,1.1
ScNiSb,17.48
SrPLi,21.42
HgO,1.3
O2Si,46.77
AlKSb4,94.39
HfO3Sr,58.64
GeMgP2,23.63
Si2W,276.06
CaO5SiTi,2.85
AgIn3K2Se6,189.05
BaCuTe3Y,25.04
K6O5Pb2,1.61
N4Si3,16.37
AuNa2Sb,48.07
CuKSe,395.58
SeV,10.14
In2Se4Zn,617.53
BiS2Tl,5.06
C2Ba,17.08
Se2AlAg,854.8
B3K3S6,4.88
Sc2Te3,29.73
NaMnP,4.6
CsIn3S5,3.92
CaO7Si2Zr,2.55
O3PbRb2,52.24
PbS,593.18
Ca2O4Pb,312.5
Ca3N2,432.82
Ca3O9Si3,180.61
N4Zr3,26.48
BaS2Sn,6.65
GeO3Sr,78.73
Na4O4Si,142.73
O2Si,148.25
GaLaO3,484.1
ZnTe,4687.48
Ga2K6S6,42.39
O2Zn,1.13
Ge2InKO6,396.33
P4Sr3,20.58
BaNb2O6,23.48
S2Si,5.27
AgSe2Y,105.5
O2V,28.09
ISAg3,483.93
CdGeLi2S4,4.72
Au2Cs2S4Sn,9.41
Ge2K6O7,43.84
In2MgO4,1016.93
NiK2As2,8.82
K6O7Ti2,36.22
Ga2Na6Se6,132.58
Cu4K2Se9Y4,8.42
Rb2Te3Zr,2.34
GaO3Y,436.44
C3Al4,305.75
Se4SrY2,28.59
KSeCu,357.43
CaGeO3,185.29
GaN,2608.01
O2Si,53.12
In2SrTe4,53.46
ZnSe,2174.68
NaAsBe,8.97
Na2O13Ti6,0.98
FeNa3Se3,0.2
In2S4Zn,1990.47
Al2O4Pb,6.23
AuBiNa2,43.72
K2Se4W,1.5
NiP2,149.62
K4O7V2,0.18
Ge3NbO9Rb,14.01
TeHg,12.62
CdK2Sb2Sr,500.5
In2S3,5124.51
S11Ta2Tl4,4.13
LiSe2In,44.33
O3SnSr,1002.32
CaO2,1.44
GaInS3,7.7
O4SiZn2,1081.41
Ge3La2O9,198.94
In2PbS4,7.58
ScSbPd,14.53
PbS,102.55
Cu2Se3Si,1010.08
CdK2O2,107.79
MnSe,0.16
K6Si2Te6,3.47
Ca2O4Si,129.27
Ga2P4Sr3,35.71
S4Sc2Zn,235.91
As2InK2Na,608.06
Se2FeRb,0.11
CaO2,1.46
K2AsAg,67.05
O14Si4Sr2Ti2,0.82
CuFe2InSe4,219.74
K2O,34.79
Mo9Se11,0.57
In2O5Sr2,473.74
MnTe4Al2,60.11
AlLa3MgS7,1.11
Hf2La2O7,0.52
Al2CdSe4,3179.08
PIn,5210.13
S3SrZr,20.95
NaPSr,260.46
O3PbTi,1.06
AuNa3O2,13.34
Na2O6Si2Zn,128.25
CsLaS2,13.08
CsGa3S5,1.84
Al2PbS4,8.37
CuGaSe2,2996.55
O2Si,65.33
Ba2Sb2Zn,3.52
BaO3Zr,79.89
Cd4Se6Si,572.72
CsGaS3,1.92
Al2O3,698.63
AlAs2K2Na,313.61
Ag3RbTe2,385.67
CuK2NbSe4,0.98
AuRb2S4Sb,2.14
Cu3NbSe4,2.71
O2Si,13.0
BaNb2O6,6.14
KSeAg,261.22
AgCl,156.74
BaGeO3,97.72
TeSn,7.44
Ba2Si,21.56
HgIn2Te4,921.58
O7PbTi3,3.75
N4Zr3,23.05
BaCuSe3Y,29.59
Hg3K2S8Sn2,32.81
Mg2N2Sr,1404.08
Au3RbSe2,8.15
K4O4Pb,16.83
S3BaV,0.28
Na2O6Si2Zn,148.31
OPb,3.01
FeRh2Se4,10.44
Cr2S3,5.41
Ca2O4Si,141.77
LaTe2,2.17
AuKSe2,0.59
Ge2O7Rb6,52.82
KNaSe,132.32
Ge4S10Tl4,2.43
P2S6Rb2,0.16
Hg3Rb2S8Sn2,15.4
Cs2S,1.5
AsSe2Ag,468.7
Cu2KNbSe4,1.32
AlBeLa3S7,12.31
P2Zn,6.46
AsNa,29.22
Al2O3,746.1
AlAs2Na3,444.68
GaLa2N3,9.97
GeO2,9316.74
CuIn3K2Se6,192.66
HgNa2O2,31.37
HfN2Sr,410.32
O2Si,47.45
In2MgS4,259.64
Au3Rb3Sb2,13.25
CuInLa2Se5,243.87
SeCd,2473.64
As2CaZn2,195.15
K2S3Ti,0.56
NaS7SiY3,10.45
Ga2K6O6,62.48
Na2O5SiTi,1.23
AgTe,199.07
Na4S4Sn,64.68
GaS,7.71
Cr2S4V,5.77
CdIn2Se4,469.17
MnSe,349.23
AgBaLaSe3,6.96
Au4CdK2S4,12.97
B6Ba,212.66
Te2LiIn,104.75
BaO3Si,347.66
Na2S,188.27
Ba2Se4Si,8.68
Mo3NaSe3,4.87
Ca2O4Si,218.01
SbKS2,2.77
CaO3Si,656.43
Ba2HfS4,26.96
N3Na,1.51
AlAs4Ca3Na3,91.08
AlNaTe2,47.83
GePb2S4,4.71
Ge3N4,1752.9
InKO2,467.82
SCd,513.39
BaTe,18.31
Cr2Se4Zn,3.91
Cr2Se4Zn,3.92
CaCd2P2,684.12
SnSe,101.61
O4SiTi,5.95
As3Ca3Ga,73.44
BeK4As2,32.86
AsNa3,2563.34
CaO3Si,1826.98
K2O9Si3Zr,73.12
Ca3GeO,137.09
CuInSe2,4395.38
LaN,145.0
KS2Sb,4.9
K2S3,2.71
MgO4Ti2,20.01
LaO4V,0.5
O7Y2Zr2,103.27
In2P4Sr3,434.71
CaGaLaO4,221.85
Ga2Se4Sr,52.36
N4Si3,13.91
CuLa3Se7Sn,8.1
CaO,133.99
BaMg2Sb2,23.3
KLaO4Ti,10.75
O2Si,79.22
Al2CdSe4,326.94
Fe2K3Se4,0.26
B18Cs8S18,1.3
Ag3KSe2,332.66
Ca2O7Si2Zn,185.88
Co9Se8,0.18
CdCr2Se4,4.9
O3PbTi,5.11
CdP2,13.1
CaO3Si,1783.01
AuKSe5,0.66
K2MnCl6,20.56
K2Te,28.1
GeS4Sr2,4.13
OPb,13.32
CdO2,2.28
Bi2PbS4,6.74
K3Sb,178.74
In3RbS5,124.04
CuBr,233.64
FeSe,6.15
RbS2Sb,0.7
S3Sb2,2.84
Rb2S7Sb4,1.04
K2Se3,2.36
Ag3AuSe2,702.7
O7Sn2Sr3,243.47
As4Si3,89.06
S3Sr,7.72
BaSi2,7.72
Li2ZrN2,12.96
NaP5,12.12
Mg3O8V2,1.3
Ba2Ge2O8Ti,46.22
LaO3Y,2.19
Ba2In2O5,678.87
MgO,1047.59
AuORb3,23.94
Ba10N12Ti4,12.31
Te,32.54
PbS3Zr,3.29
Al2MgO4,1156.78
O3Sc2,31.4
InKTe2,62.89
N6Sr,6.32
BaO9Si3Ti,0.77
CaO3Si,1063.56
As4GaNa3Sr3,327.95
PbS3Sn,3.46
O3SrTi,34.14
AgHfRbTe3,2.16
P4Zn,5.56
AsKZn,1012.79
AuKNa2O2,1.83
S5Sb3Tl,2.54
BaHfN2,117.94
Cs3S4Sb,1.38
Au2Cd2Cs2S4,2.07
S2Sn,6.02
CaGeMgO4,302.55
LiRb2S4Ta,3.66
AuRbTe,5.03
K4Se6Sn2,10.49
Al2MgS4,22.86
GeNa2O5Ti,2.01
LiS2Sb,2.51
O2Si,133.94
CZr,46.4
P2Fe,22.6
Ba2N2Zn,13.58
PbS,451.55
Na4O3Sn,1.45
SiC,970.5
CdKSb,7.37
K2Se8Sn4,4.28
Al6Ca4O13,124.34
O2Ti,7.97
Se4FeGa2,228.49
S4TiTl4,6.85
Al4Bi2S8,6.99
BiGeKS4,2.51
GeS4Tl4,4.75
BaO3Ti,33.27
GeAlLi,129.42
S2Ti,0.15
Cs2Hg6S7,3.41
In2O3,4884.07
S2BiRb,60.95
Na2S5,1.04
O7Sr3Ti2,48.68
PS3Fe,0.12
K2Te2,12.34
Ga5La3O14Sn,324.89
O2Si,127.43
As2K2Si,6.41
NaPZn,59.04
MgO,169.85
MgO3Si,1051.32
Ba2MnSe3,22.41
Au2BaS4Sn,3.06
RuTe2,15.8
Te2BiAg,642.71
N8Si6Sr,8.16
CdP4,22.3
Na2Se2,73.34
HgO,1.58
B3S10Tl3,1.45
Al2O3,600.72
HfS3,0.42
Ba4Ga2S7,42.41
BaO3Sn,4529.04
GeTe,38.96
AsSe2Cu,25.34
SZn,991.68
Hg3S4Tl2,1.03
AgGaTe2,1972.85
Al2Se4Zn,421.1
K2O3Zr,52.27
N4Si3,138.06
BaRbS4Ta,10.76
Al2Ca3N4,13.98
GaSe8V4,146.72
GaSe,9.38
AgRb2Se4V,0.37
O2Si,15.26
S3Sn2,3.02
Mn2Na2Se3,92.71
AlO4RbSi,101.3
Ba2Bi2Zn,4.9
GeO4Zr,13.9
IBiSe2Cd,29.79
K6MnTe4,34.32
As2CaCd2,1725.09
NaORb,141.13
AsNa,33.58
Ga2S4Zn,317.69
AuKS5,0.55
As2BaZn2,69.63
Al2Se3,197.93
NbSe2,0.54
Te2AlAg,760.28
Al2As3K3,111.13
Cs2S2,2.92
Cs2S8Sb4,0.62
AlLaO3,0.24
O3Y2,162.6
S3Sr2Zn,51.36
K3S4Ta,1.93
AsZn,882.15
HgK2O2,4.61
BBaBiS4,10.8
Ca2Hf7O16,128.21
GeRbS5Ta,1.32
In7RbS9,7.52
InSe,38.26
CdSe2,2.74
GaGeNSr2,6.96
CaIn2O4,635.26
CrS2Ba,4.0
SnO2,4093.29
Na4O9Si3Sr,115.68
NiSnZr,27.92
CdLi2S4Sn,143.51
K2Te2Pt,4.92
As2Sn2Sr,52.74
O7Sc2Si2,3.11
CdP2Sn,5255.02
Al2Se4Sr,239.59
S2Si,0.2
GaInS3,210.24
Ba4In2S8,3.16
Cu2Te3Ti,3.48
BaO,35.72
HfO2,64.97
Na6S7Sn2,42.78
KLaTe2,0.14
K2O4Zn3,241.08
Ga2Se4Zn,678.19
GeNa2S3,20.02
K2S5Sn2,56.06
K2O13Ti6,1.03
SrTe,47.69
AlAs,142.16
BaHgS2,31.75
Ge3As4,98.03
BaHfO9Si3,94.52
O4Pb3,12.52
As2HgK4,48.89
Cs6S27Ti6,1.11
MgO7Si2Sr2,185.64
As6Rb4,2.46
BaO5Ti2,14.82
Na2S2Co,1.02
BiCsGeS4,2.82
AuO2Rb,0.69
Bi2Pb3S6,4.5
GaMo4Se8,14.71
Na2O,150.25
InS3Sb,3.53
Na2AsCu,51.79
Ba2GeP2,10.06
K2O3Pb,37.27
Al2CdSe4,2948.1
Ba2O4Ti,23.73
PdRb2Te2,4.94
GeNa2O5Ti,1.97
KLaNaNbO5,10.22
O7Si2Y2,132.5
As2Ga2Sr,908.01
CrLaSe3,2.29
InP3Sr3,35.1
SbLi3,138.28
O4SiTi,1.41
Na3Sb,917.93
CaMgO6Si2,266.76
K2O3Sn,106.08
BaO3Ti,32.73
Se6,0.08
CoO,288.65
I2Ni,0.24
BNa3S3,4.46
CdSb,1217.89
Rb3Sb,168.91
GeNaO4Y,245.48
AlRb6Sb3,70.87
GeN2Zn,4203.72
CaO5SiSn,258.13
Rb2Se3,2.6
Te3Bi2,77.99
BRbS3,3.43
As4Ga2Sr3,42.36
Ga4O7Sr,276.13
HgIn2S4,5052.66
AlK2NaP2,161.43
CsS6Sb,1.29
Ga2MnSe4,474.92
O2Pb,14.46
GeSe2,2.62
CuKPdSe5,1.58
Ga2O3,2292.91
O2Zr,5.73
O4SiTi,0.98
CaGa4O7,321.89
O2Si,38.95
N3NaSi2,687.92
TeBiCl,8.35
NY,435.26
